Object ID;Bike route name;Street name;Bikeway type;Subtype;Status;Street segment type;Overall direction;Bikeway direction;Vehicle direction;Speed limit;Surface type;AAA Network;AAA segment;W/N bound type;E/S bound type;Snow removal;Segment length;Year of construction;Construction note;Upgrade year;Notes;Geom;geo_point_2d
1;Ridgeway;E 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;Yes;41.69150129;1998;year const- source unknown;;;[0,0][-3,3];49.229274954898074,-123.0368115563201
2;45th Ave;E 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;50.30453469;2013;;;;[-3,3] [-2,6];49.22913927829063,-123.08893718143088
3;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;118.289611;2011;;;;[-2,6][3,3];49.22984396240385,-123.11715414959265
4;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;68.3527857;2011;;;;[-123.114548798304,49.22975326780692] [-123.11538661498763,49.229782468266116] [-123.1154863093889,49.22978597484318];49.22976960707784,-123.1150175543453
5;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;191.9184427;2011;;;;[-123.10826987002669,49.22953494286843] [-123.10826992359766,49.22953494461727] [-123.11090224130841,49.229625888464014];49.229580415615295,-123.10958605566927
6;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;68.42908306;2011;;;;[-123.10733114655814,49.229504367839894] [-123.10826987002669,49.22953494286843];49.22951965535417,-123.10780050829241
7;45th Ave;W 46th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;49.69129943;2011;;;;[-123.12679920916291,49.229252485141856] [-123.12679924763945,49.229252492295814] [-123.12748076007163,49.229276206638374];49.22926434878644,-123.1271399842994
8;45th Ave;W 46th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;72.95953476;2011;;;;[-123.12407956118294,49.22915768863259] [-123.12508024863914,49.22919255811904];49.22917512337581,-123.12457990491103
9;45th Ave;W 46th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;27.95902391;2011;;;;[-123.12784855594204,49.229289051992374] [-123.12823203066613,49.22930244367462];49.229295747833504,-123.1280402933041
10;45th Ave;W 46th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;216.8236811;2011;;;;[-123.12902689268172,49.229330069984734] [-123.1320007861552,49.229433652040385];49.229381861012556,-123.13051383941846
11;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;58.03663784;2011;;;;[-123.13495662080263,49.230448949880966] [-123.13575271726128,49.230475866420036];49.2304624081505,-123.13535466903195
12;45th Ave;W 45th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;102.6708636;2011;;;;[-123.16006643595517,49.23092632390367] [-123.16147625934042,49.2309487362895];49.23093753009658,-123.1607713476478
13;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;12.19675161;2007;pre-2007;;;[-123.06290741160744,49.23893604472142] [-123.06273990578003,49.23893511934982] [-123.06273986318271,49.23893511127726];49.238935581914845,-123.06282363701641
14;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;91.52499012;2005;const date-source unknown;;;[-123.06206040339634,49.238931357560574] [-123.06206040321602,49.2389312136368] [-123.06206063352518,49.238908898113934] [-123.06206878495445,49.238113655717385] [-123.0620688288048,49.23810808673803];49.23851972221298,-123.06206462260728
15;Gladstone;Gladstone;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;111.4552662;2005;const date-source unknown;;;[-123.06208338978249,49.23691714801236] [-123.06209685349187,49.23591547324318] [-123.0620968593421,49.235914660969144] [-123.06209687302828,49.23591462048318];49.23641588315052,-123.062090127381
